policy_title,corpus_size,query_id,parameter,category,query,sentence_rank,sentence_score,sentence,sentence_index
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",4,0.5301617383956909,"(From Temps in Tech NELP and TWJ Report)
   * Implement best practices for predictable scheduling45 and apply components of fair workweek laws46 and current California law for scheduling47 across the contract workforce.",299
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",5,0.5185297727584839,"Contract work limits job mobility across the career ladder
Beyond mobility limitations from contract to direct employee, contract workers face strict policies and procedures that limit their future job searches.",196
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,1,0.5345789194107056,* Prohibit contract terms that limit temp workers’ opportunities to obtain permanent employment at a tech (or parent/client) company—or accept employment with a competitor company.,298
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,2,0.5163570642471313,"Because their supervisors retain all power to extend or cancel contracts with no stated rationale, speaking up about workplace issues can mean risking one’s economic security and opportunities for future employment.",247
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,3,0.502052366733551,"Ensure safe and secure employment
The fact that many existing labor laws do not acknowledge the unique facets of contract work or adequately protect contract workers is part of the reason the practice is burgeoning, and that working conditions are often so poor.",358
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,4,0.49804502725601196,"There could be issues of employment discrimination if hiring practices result in discriminatory outcomes, including workers with protected class status21 disproportionately assigned to lower paid roles.",119
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,5,0.49773603677749634,"Outline and publish clear pathways to direct employment
Even though contract workers contribute to the success of their tech company, they’re often barred from reaping the benefits of that work.",328
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",1,0.4650786519050598,"Closing the Gap:
Public Policy


Improving working conditions and ending wage disparities will require policy and regulatory reform.",352
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",2,0.45669516921043396,"* Make reports to the Bureau of Labor Statistics and other relevant state agencies public and easily accessible to workers, shareholders, and the public.",349
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",3,0.44060105085372925,"Locally, recent legislative proposals including California’s 2021 Worker Metrics61 bill also seek to reveal the contours of the contingent workforce.",369
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",4,0.4387618899345398,"For workers with part-time or contract time limits, use a formula to calculate pro-rated PTO that would be equivalent to directly-employed workforce PTO benefit.",295
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",5,0.43223458528518677,"* Require that all vendors and staffing agencies provide detailed assignments to all workers that include pay rate, benefit options and employee contribution, paid time off, HR protocols, complaint procedures, location of assignment, hourly schedule, and agency fees or “markups” for service.",325
Responsible Contracting Standard,377,5,Monitoring and surveillance,Worker rights,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.",1,0.5348023176193237,Sharing the outcomes of these policies helps ensure that tech company’s written policies and stated commitments are correctly applied by the staffing agencies they employ.,343
Responsible Contracting Standard,377,5,Monitoring and surveillance,Worker rights,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.",2,0.531129002571106,"These policies, replicated for teams or managers who successfully hire former contract workers, would also improve the mobility and stability of tech’s entire workforce.",336
Responsible Contracting Standard,377,5,Monitoring and surveillance,Worker rights,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.",3,0.496304988861084,"* Provide transparency about the terms and conditions of assignments with written notice from the staffing agency that includes: the length of the assignment, safety requirements, certifications, or personal protective equipment needed for a work assignment, the specific criteria for transitioning to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly charge to the tech (or parent/client) company for their labor.",296
Responsible Contracting Standard,377,5,Monitoring and surveillance,Worker rights,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.",4,0.49042052030563354,"Across the country, workers are organizing for more transparency and protections in the contingent workforce.",370
Responsible Contracting Standard,377,5,Monitoring and surveillance,Worker rights,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.",5,0.4858130216598511,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,6,Dismissal/deactivation/suspension,Worker rights,"The policy outlines processes, procedures, or rules for worker removal, deactivation from a platform, or suspension or termination processes.",1,0.4754830598831177,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,6,Dismissal/deactivation/suspension,Worker rights,"The policy outlines processes, procedures, or rules for worker removal, deactivation from a platform, or suspension or termination processes.",2,0.46078479290008545,Sharing the outcomes of these policies helps ensure that tech company’s written policies and stated commitments are correctly applied by the staffing agencies they employ.,343
Responsible Contracting Standard,377,6,Dismissal/deactivation/suspension,Worker rights,"The policy outlines processes, procedures, or rules for worker removal, deactivation from a platform, or suspension or termination processes.",3,0.45841336250305176,"* End policies that disincentivize contract worker mobility (non-competes, high fees for conversion) and adopt the incentives provided to direct workers, including hiring bonuses for those who successfully recruit contract workers.",334
Responsible Contracting Standard,377,6,Dismissal/deactivation/suspension,Worker rights,"The policy outlines processes, procedures, or rules for worker removal, deactivation from a platform, or suspension or termination processes.",4,0.4568284749984741,"These policies, replicated for teams or managers who successfully hire former contract workers, would also improve the mobility and stability of tech’s entire workforce.",336
Responsible Contracting Standard,377,6,Dismissal/deactivation/suspension,Worker rights,"The policy outlines processes, procedures, or rules for worker removal, deactivation from a platform, or suspension or termination processes.",5,0.4567354619503021,"To keep it that way, companies create arm’s-length policies for those workers; they also change their personnel practices altogether.",107
Responsible Contracting Standard,377,7,Paths for career advancement,Worker rights,"The policy mentions opportunities for training, promotions, or upskilling.",1,0.5481479167938232,"* End policies that disincentivize contract worker mobility (non-competes, high fees for conversion) and adopt the incentives provided to direct workers, including hiring bonuses for those who successfully recruit contract workers.",334
Responsible Contracting Standard,377,7,Paths for career advancement,Worker rights,"The policy mentions opportunities for training, promotions, or upskilling.",2,0.4891763925552368,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,7,Paths for career advancement,Worker rights,"The policy mentions opportunities for training, promotions, or upskilling.",3,0.45620548725128174,* Offer training and professional development opportunities to contract workers.,337
Responsible Contracting Standard,377,7,Paths for career advancement,Worker rights,"The policy mentions opportunities for training, promotions, or upskilling.",4,0.4353596270084381,"Instead, they were instructed to say, for example, “Recruiting Manager for Pro Unlimited [contracting company] at Uber [tech company].”
One worker shared that their contract experience actually put them at a disadvantage for direct employment opportunities.",198
Responsible Contracting Standard,377,7,Paths for career advancement,Worker rights,"The policy mentions opportunities for training, promotions, or upskilling.",5,0.4304847717285156,"These policies, replicated for teams or managers who successfully hire former contract workers, would also improve the mobility and stability of tech’s entire workforce.",336
Responsible Contracting Standard,377,8,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",1,0.5043317079544067,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,8,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",2,0.473339706659317,"Adopting and implementing public policy that sets a baseline for protections
3.",283
Responsible Contracting Standard,377,8,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",3,0.4726864695549011,Sharing the outcomes of these policies helps ensure that tech company’s written policies and stated commitments are correctly applied by the staffing agencies they employ.,343
Responsible Contracting Standard,377,8,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",4,0.4158882200717926,"When staffing agencies do not comply, ensure that there is a clear policy for those violations that includes dropped contracts, fines, and any other mechanisms that are appropriate to internal policy violation repercussions.",351
Responsible Contracting Standard,377,8,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",5,0.4027291536331177,The Contract Worker Disparity Project is a comprehensive look at the conditions that create these inequities.,7
Responsible Contracting Standard,377,9,"Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Worker rights,"The policy mentions workers' ability to organize, join unions, or participate in collective decision-making.",1,0.5660595893859863,"* Outline in writing to vendors that the company supports workers' right to organize, to utilize protected concerted activity54, and encourages the voluntary recognition of unionization efforts.",316
Responsible Contracting Standard,377,9,"Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Worker rights,"The policy mentions workers' ability to organize, join unions, or participate in collective decision-making.",2,0.5010289549827576,"* End policies that disincentivize contract worker mobility (non-competes, high fees for conversion) and adopt the incentives provided to direct workers, including hiring bonuses for those who successfully recruit contract workers.",334
Responsible Contracting Standard,377,9,"Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Worker rights,"The policy mentions workers' ability to organize, join unions, or participate in collective decision-making.",3,0.4881490170955658,"Across the country, workers are organizing for more transparency and protections in the contingent workforce.",370
Responsible Contracting Standard,377,9,"Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Worker rights,"The policy mentions workers' ability to organize, join unions, or participate in collective decision-making.",4,0.4857751727104187,"Closing the Gap:
Public Policy


Improving working conditions and ending wage disparities will require policy and regulatory reform.",352
Responsible Contracting Standard,377,9,"Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Worker rights,"The policy mentions workers' ability to organize, join unions, or participate in collective decision-making.",5,0.47487133741378784,"These policies, replicated for teams or managers who successfully hire former contract workers, would also improve the mobility and stability of tech’s entire workforce.",336
Responsible Contracting Standard,377,10,Health and safety risks,Worker rights,"The policy includes reference to protections against health and safety risks, mental or physical",1,0.6013531684875488,"Adopting and implementing public policy that sets a baseline for protections
3.",283
Responsible Contracting Standard,377,10,Health and safety risks,Worker rights,"The policy includes reference to protections against health and safety risks, mental or physical",2,0.6011824011802673,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,10,Health and safety risks,Worker rights,"The policy includes reference to protections against health and safety risks, mental or physical",3,0.3803335130214691,"To keep it that way, companies create arm’s-length policies for those workers; they also change their personnel practices altogether.",107
Responsible Contracting Standard,377,10,Health and safety risks,Worker rights,"The policy includes reference to protections against health and safety risks, mental or physical",4,0.36837098002433777,"Closing the Gap:
Public Policy


Improving working conditions and ending wage disparities will require policy and regulatory reform.",352
Responsible Contracting Standard,377,10,Health and safety risks,Worker rights,"The policy includes reference to protections against health and safety risks, mental or physical",5,0.36134102940559387,Sharing the outcomes of these policies helps ensure that tech company’s written policies and stated commitments are correctly applied by the staffing agencies they employ.,343
Responsible Contracting Standard,377,11,Right to refuse work,Worker rights,"The policy references workers' right to refuse unsafe, unreasonable, objectionable, or exploitative tasks.",1,0.5188325643539429,"Ensure safe and secure employment
The fact that many existing labor laws do not acknowledge the unique facets of contract work or adequately protect contract workers is part of the reason the practice is burgeoning, and that working conditions are often so poor.",358
Responsible Contracting Standard,377,11,Right to refuse work,Worker rights,"The policy references workers' right to refuse unsafe, unreasonable, objectionable, or exploitative tasks.",2,0.4914648234844208,"As we enter an era characterized by increasing inequality, we need to ensure that workers re-entering the workforce through temp work are not being exploited and that these roles can lead to safe, stable, secure careers.",275
Responsible Contracting Standard,377,11,Right to refuse work,Worker rights,"The policy references workers' right to refuse unsafe, unreasonable, objectionable, or exploitative tasks.",3,0.4903605282306671,"To keep it that way, companies create arm’s-length policies for those workers; they also change their personnel practices altogether.",107
Responsible Contracting Standard,377,11,Right to refuse work,Worker rights,"The policy references workers' right to refuse unsafe, unreasonable, objectionable, or exploitative tasks.",4,0.4885134696960449,"Develop protocols to report workplace safety violations and protect contract worker voices
Contract workers are routinely faced with a painful choice between speaking up about abuse and keeping their jobs.",310
Responsible Contracting Standard,377,11,Right to refuse work,Worker rights,"The policy references workers' right to refuse unsafe, unreasonable, objectionable, or exploitative tasks.",5,0.48408105969429016,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,12,Mental and physical health insurance,Worker rights,"The policy mentions health coverage for workers, mental or physical.",1,0.5249736309051514,"Closing the Gap:
Public Policy


Improving working conditions and ending wage disparities will require policy and regulatory reform.",352
Responsible Contracting Standard,377,12,Mental and physical health insurance,Worker rights,"The policy mentions health coverage for workers, mental or physical.",2,0.4715929627418518,"One worker shared that early during the COVID-19 pandemic, they and their fellow contract workers hadn’t received information on how their benefits, including their right to sick leave, had changed with new federal and state laws.",168
Responsible Contracting Standard,377,12,Mental and physical health insurance,Worker rights,"The policy mentions health coverage for workers, mental or physical.",3,0.45791861414909363,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,12,Mental and physical health insurance,Worker rights,"The policy mentions health coverage for workers, mental or physical.",4,0.44576066732406616,"In addition to health care and paid time off, the typical tech benefits package includes stock options.",224
Responsible Contracting Standard,377,12,Mental and physical health insurance,Worker rights,"The policy mentions health coverage for workers, mental or physical.",5,0.44291067123413086,* During the Request for Proposal bid process—and routinely as an audit practice—tech companies should ensure that staffing agencies provide equivalent plans for employer-sponsored healthcare to all contract workers.,307
Responsible Contracting Standard,377,13,Paid time off,Worker rights,"The policy mentions vacation, annual leave, or other forms of paid leave.",1,0.4745508134365082,* Demonstrate a commitment to employee wellness by ensuring adequate paid time off (PTO) and parental leave programs43.,294
Responsible Contracting Standard,377,13,Paid time off,Worker rights,"The policy mentions vacation, annual leave, or other forms of paid leave.",2,0.4315323829650879,"* Provide transparency about the terms and conditions of assignments with written notice from the staffing agency that includes: the length of the assignment, safety requirements, certifications, or personal protective equipment needed for a work assignment, the specific criteria for transitioning to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly charge to the tech (or parent/client) company for their labor.",296
Responsible Contracting Standard,377,13,Paid time off,Worker rights,"The policy mentions vacation, annual leave, or other forms of paid leave.",3,0.4223901033401489,"Though the contracts cover a specific time period, employers (and workers) have the ability to end the contracts without advanced notice or explanation.",235
Responsible Contracting Standard,377,13,Paid time off,Worker rights,"The policy mentions vacation, annual leave, or other forms of paid leave.",4,0.4192790985107422,"One worker shared that early during the COVID-19 pandemic, they and their fellow contract workers hadn’t received information on how their benefits, including their right to sick leave, had changed with new federal and state laws.",168
Responsible Contracting Standard,377,13,Paid time off,Worker rights,"The policy mentions vacation, annual leave, or other forms of paid leave.",5,0.41393205523490906,"Flexible capacity for temporary needs Companies might choose to use a contracting agency to cover for direct employees who are on leave, or for temporary projects, or ones that do not have long-term funding.",39
Responsible Contracting Standard,377,14,Sick leave,Worker rights,The policy references paid time off for illness,1,0.541429877281189,"One worker shared that early during the COVID-19 pandemic, they and their fellow contract workers hadn’t received information on how their benefits, including their right to sick leave, had changed with new federal and state laws.",168
Responsible Contracting Standard,377,14,Sick leave,Worker rights,The policy references paid time off for illness,2,0.5218651294708252,* Demonstrate a commitment to employee wellness by ensuring adequate paid time off (PTO) and parental leave programs43.,294
Responsible Contracting Standard,377,14,Sick leave,Worker rights,The policy references paid time off for illness,3,0.43351179361343384,This practice stems from a lawsuit brought by temps at Microsoft 29who argued they should receive the same benefits as full-time employees since they were essentially doing the same jobs.,161
Responsible Contracting Standard,377,14,Sick leave,Worker rights,The policy references paid time off for illness,4,0.41900384426116943,"In addition to health care and paid time off, the typical tech benefits package includes stock options.",224
Responsible Contracting Standard,377,14,Sick leave,Worker rights,The policy references paid time off for illness,5,0.3978162407875061,"To keep it that way, companies create arm’s-length policies for those workers; they also change their personnel practices altogether.",107
Responsible Contracting Standard,377,15,Pension benefits,Worker rights,The policy mentions retirement savings or pensions programs for workers,1,0.44741398096084595,"These policies, replicated for teams or managers who successfully hire former contract workers, would also improve the mobility and stability of tech’s entire workforce.",336
Responsible Contracting Standard,377,15,Pension benefits,Worker rights,The policy mentions retirement savings or pensions programs for workers,2,0.44123375415802,Federal bills including the Restoring Worker Power Act58 from 2020 outline what a worker-centered temporary worker bill of rights could contain.,360
Responsible Contracting Standard,377,15,Pension benefits,Worker rights,The policy mentions retirement savings or pensions programs for workers,3,0.43142932653427124,"Closing the Gap:
Public Policy


Improving working conditions and ending wage disparities will require policy and regulatory reform.",352
Responsible Contracting Standard,377,15,Pension benefits,Worker rights,The policy mentions retirement savings or pensions programs for workers,4,0.42450451850891113,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,15,Pension benefits,Worker rights,The policy mentions retirement savings or pensions programs for workers,5,0.4200630187988281,* Demonstrate a commitment to employee wellness by ensuring adequate paid time off (PTO) and parental leave programs43.,294
Responsible Contracting Standard,377,16,Gender,Worker rights,The policy mentions protections or equity measures based on gender.,1,0.5291208624839783,These disparities also exist across gender.,136
Responsible Contracting Standard,377,16,Gender,Worker rights,The policy mentions protections or equity measures based on gender.,2,0.508421778678894,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,16,Gender,Worker rights,The policy mentions protections or equity measures based on gender.,3,0.4563975930213928,"Adopting and implementing public policy that sets a baseline for protections
3.",283
Responsible Contracting Standard,377,16,Gender,Worker rights,The policy mentions protections or equity measures based on gender.,4,0.44437533617019653,"The federal Equal Pay Act requires that people of different genders, race, and other characteristics must earn equal pay for equal work.",355
Responsible Contracting Standard,377,16,Gender,Worker rights,The policy mentions protections or equity measures based on gender.,5,0.4074420928955078,"The disparate impact20 legal standard holds that employers are responsible for practices that create different outcomes for groups based on their race, color, religion, sex, or national origin even if those practices are applied neutrally, or irrespective of those
characteristics.",118
Responsible Contracting Standard,377,17,Race and ethnicity,Worker rights,The policy mentions protections or equity measures based on race or ethnicity.,1,0.5193908214569092,"The disparate impact20 legal standard holds that employers are responsible for practices that create different outcomes for groups based on their race, color, religion, sex, or national origin even if those practices are applied neutrally, or irrespective of those
characteristics.",118
Responsible Contracting Standard,377,17,Race and ethnicity,Worker rights,The policy mentions protections or equity measures based on race or ethnicity.,2,0.49333518743515015,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,17,Race and ethnicity,Worker rights,The policy mentions protections or equity measures based on race or ethnicity.,3,0.4741479158401489,"Notably, this study is based on disparities based on race between direct employees, with the total income gap presumably widening when accounting for earnings differences between contract workers and direct employees, especially contract workers with identities at the intersections of multiple forms of oppression.",267
Responsible Contracting Standard,377,17,Race and ethnicity,Worker rights,The policy mentions protections or equity measures based on race or ethnicity.,4,0.44643229246139526,"Adopting and implementing public policy that sets a baseline for protections
3.",283
Responsible Contracting Standard,377,17,Race and ethnicity,Worker rights,The policy mentions protections or equity measures based on race or ethnicity.,5,0.40733602643013,"There could be issues of employment discrimination if hiring practices result in discriminatory outcomes, including workers with protected class status21 disproportionately assigned to lower paid roles.",119
Responsible Contracting Standard,377,18,Sexual orientation,Worker rights,The policy mentions protections or equity measures based on sexual orientation.,1,0.48628485202789307,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,18,Sexual orientation,Worker rights,The policy mentions protections or equity measures based on sexual orientation.,2,0.4199976921081543,"Adopting and implementing public policy that sets a baseline for protections
3.",283
Responsible Contracting Standard,377,18,Sexual orientation,Worker rights,The policy mentions protections or equity measures based on sexual orientation.,3,0.41266825795173645,These disparities also exist across gender.,136
Responsible Contracting Standard,377,18,Sexual orientation,Worker rights,The policy mentions protections or equity measures based on sexual orientation.,4,0.3638409376144409,"The disparate impact20 legal standard holds that employers are responsible for practices that create different outcomes for groups based on their race, color, religion, sex, or national origin even if those practices are applied neutrally, or irrespective of those
characteristics.",118
Responsible Contracting Standard,377,18,Sexual orientation,Worker rights,The policy mentions protections or equity measures based on sexual orientation.,5,0.345196008682251,"There could be issues of employment discrimination if hiring practices result in discriminatory outcomes, including workers with protected class status21 disproportionately assigned to lower paid roles.",119
Responsible Contracting Standard,377,19,Disability,Worker rights,The policy mentions protections or equity measures based on disability.,1,0.48275500535964966,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,19,Disability,Worker rights,The policy mentions protections or equity measures based on disability.,2,0.4419131278991699,"Adopting and implementing public policy that sets a baseline for protections
3.",283
Responsible Contracting Standard,377,19,Disability,Worker rights,The policy mentions protections or equity measures based on disability.,3,0.42137399315834045,"In addition to health care and paid time off, the typical tech benefits package includes stock options.",224
Responsible Contracting Standard,377,19,Disability,Worker rights,The policy mentions protections or equity measures based on disability.,4,0.4174903929233551,Sharing the outcomes of these policies helps ensure that tech company’s written policies and stated commitments are correctly applied by the staffing agencies they employ.,343
Responsible Contracting Standard,377,19,Disability,Worker rights,The policy mentions protections or equity measures based on disability.,5,0.38944339752197266,"* Ensure that employees are offered medical, vision, and dental benefits that reflect the minimum value and affordability threshold42 that is offered to direct employees.",293
Responsible Contracting Standard,377,20,Contracts – general,Employer and platform/contractor responsibilities,The policy outlines requirements for fair contracts and contract terms between workers and employers.,1,0.6491589546203613,"Our Responsible Contracting Standard lays out the processes and practices that our research shows will create the conditions for contract
________________
workers to have safe, healthy and family-sustaining employment opportunities in the tech industry and beyond.",285
Responsible Contracting Standard,377,20,Contracts – general,Employer and platform/contractor responsibilities,The policy outlines requirements for fair contracts and contract terms between workers and employers.,2,0.6191796064376831,"* End policies that disincentivize contract worker mobility (non-competes, high fees for conversion) and adopt the incentives provided to direct workers, including hiring bonuses for those who successfully recruit contract workers.",334
Responsible Contracting Standard,377,20,Contracts – general,Employer and platform/contractor responsibilities,The policy outlines requirements for fair contracts and contract terms between workers and employers.,3,0.6134945154190063,"________________
The move to a large contract workforce allows companies to absolve themselves of legal responsibility to the workers they rely on to make their companies run—both in terms of ongoing employment, wage rates, and benefits, but also in terms of protecting them from sexual harassment, racial discrimination, and ensuring healthy overall working conditions.",280
Responsible Contracting Standard,377,20,Contracts – general,Employer and platform/contractor responsibilities,The policy outlines requirements for fair contracts and contract terms between workers and employers.,4,0.6076468825340271,"Ensure safe and secure employment
The fact that many existing labor laws do not acknowledge the unique facets of contract work or adequately protect contract workers is part of the reason the practice is burgeoning, and that working conditions are often so poor.",358
Responsible Contracting Standard,377,20,Contracts – general,Employer and platform/contractor responsibilities,The policy outlines requirements for fair contracts and contract terms between workers and employers.,5,0.6010241508483887,The Contract Worker Disparity Project is a comprehensive look at the conditions that create these inequities.,7
Responsible Contracting Standard,377,21,Transparent and easy to understand,Employer and platform/contractor responsibilities,The policy includes recommendations or requirements for contract clarity and readability.,1,0.6100029945373535,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
