policy_title,corpus_size,query_id,parameter,category,query,sentence_rank,sentence_score,sentence,sentence_index,review_1,review_2,primary_paramater,alt_parameter_1,alt_parameter_2,alt_parameter_3,alt_parameter_4,alt_parameter_5,alt_parameter_6,notes,review_agreement
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,2,0.5164,"Because their supervisors retain all power to extend or cancel contracts with no stated rationale, speaking up about workplace issues can mean risking one’s economic security and opportunities for future employment.",247,Yes,Yes,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,,,,,,,,TRUE
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,3,0.5021,"Ensure safe and secure employment
The fact that many existing labor laws do not acknowledge the unique facets of contract work or adequately protect contract workers is part of the reason the practice is burgeoning, and that working conditions are often so poor.",358,No - not relevant at all,No - not relevant at all,,,,,,,,This is about contract work.,TRUE
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,4,0.4980,"There could be issues of employment discrimination if hiring practices result in discriminatory outcomes, including workers with protected class status21 disproportionately assigned to lower paid roles.",119,Meets a different parameter(s),Meets a different parameter(s),,The policy mentions protections or equity measures based on gender.,,,,,,,TRUE
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,5,0.4977,"Outline and publish clear pathways to direct employment
Even though contract workers contribute to the success of their tech company, they’re often barred from reaping the benefits of that work.",328,Yes,Yes,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,,,,,,,This also about temp/contract workers.,TRUE
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",1,0.4651,"Closing the Gap:
Public Policy


Improving working conditions and ending wage disparities will require policy and regulatory reform.",352,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",2,0.4567,"* Make reports to the Bureau of Labor Statistics and other relevant state agencies public and easily accessible to workers, shareholders, and the public.",349,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",3,0.4406,"Locally, recent legislative proposals including California’s 2021 Worker Metrics61 bill also seek to reveal the contours of the contingent workforce.",369,No - not relevant at all,No - not relevant at all,,,,,,,,This is about contract work.,TRUE
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",4,0.4388,"For workers with part-time or contract time limits, use a formula to calculate pro-rated PTO that would be equivalent to directly-employed workforce PTO benefit.",295,Meets a different parameter(s),Meets a different parameter(s),,"The policy mentions vacation, annual leave, or other forms of paid leave.",,,,,,,TRUE
Responsible Contracting Standard,377,4,"Evaluation metrics, productivity standards and quotas",Worker rights,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.",5,0.4322,"* Require that all vendors and staffing agencies provide detailed assignments to all workers that include pay rate, benefit options and employee contribution, paid time off, HR protocols, complaint procedures, location of assignment, hourly schedule, and agency fees or “markups” for service.",325,Meets a different parameter(s),Meets a different parameter(s),,The policy outlines requirements for fair contracts and contract terms between workers and employers.,,,,,,,TRUE
Responsible Contracting Standard,377,5,Monitoring and surveillance,Worker rights,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.",1,0.5348,Sharing the outcomes of these policies helps ensure that tech company’s written policies and stated commitments are correctly applied by the staffing agencies they employ.,343,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,5,Monitoring and surveillance,Worker rights,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.",2,0.5311,"These policies, replicated for teams or managers who successfully hire former contract workers, would also improve the mobility and stability of tech’s entire workforce.",336,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,5,Monitoring and surveillance,Worker rights,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.",4,0.4904,"Across the country, workers are organizing for more transparency and protections in the contingent workforce.",370,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,5,Monitoring and surveillance,Worker rights,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.",5,0.4858,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286,Meets a different parameter(s),Meets a different parameter(s),,"The policy outlines some measure of legal enforceability, referencing existing applicable legal frameworks.",,,,,,,TRUE
Responsible Contracting Standard,377,7,Paths for career advancement,Worker rights,"The policy mentions opportunities for training, promotions, or upskilling.",3,0.4562,* Offer training and professional development opportunities to contract workers.,337,Yes,Yes,"The policy mentions opportunities for training, promotions, or upskilling.",,,,,,,,TRUE
Responsible Contracting Standard,377,7,Paths for career advancement,Worker rights,"The policy mentions opportunities for training, promotions, or upskilling.",4,0.4354,"Instead, they were instructed to say, for example, “Recruiting Manager for Pro Unlimited [contracting company] at Uber [tech company].”
One worker shared that their contract experience actually put them at a disadvantage for direct employment opportunities.",198,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,8,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",2,0.4733,"Adopting and implementing public policy that sets a baseline for protections
3.",283,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,8,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",4,0.4159,"When staffing agencies do not comply, ensure that there is a clear policy for those violations that includes dropped contracts, fines, and any other mechanisms that are appropriate to internal policy violation repercussions.",351,Meets a different parameter(s),Meets a different parameter(s),,The policy includes consequences or accountability measures for companies if standards are violated.,,,,,,,TRUE
Responsible Contracting Standard,377,8,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",5,0.4027,The Contract Worker Disparity Project is a comprehensive look at the conditions that create these inequities.,7,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,9,Freedom of association and fair representation,Worker rights,"The policy mentions workers' ability to organize, join unions, or participate in collective decision-making.",1,0.5661,"* Outline in writing to vendors that the company supports workers' right to organize, to utilize protected concerted activity54, and encourages the voluntary recognition of unionization efforts.",316,Yes,Yes,"The policy mentions workers' ability to organize, join unions, or participate in collective decision-making.",,,,,,,,TRUE
Responsible Contracting Standard,377,10,Health and safety risks,Worker rights,"The policy includes reference to protections against health and safety risks, mental or physical",3,0.3803,"To keep it that way, companies create arm’s-length policies for those workers; they also change their personnel practices altogether.",107,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,11,Right to refuse work,Worker rights,"The policy references workers' right to refuse unsafe, unreasonable, objectionable, or exploitative tasks.",1,0.5188,"Ensure safe and secure employment
The fact that many existing labor laws do not acknowledge the unique facets of contract work or adequately protect contract workers is part of the reason the practice is burgeoning, and that working conditions are often so poor.",358,Meets a different parameter(s),Meets a different parameter(s),,"The policy includes reference to protections against health and safety risks, mental or physical",,,,,,,TRUE
Responsible Contracting Standard,377,11,Right to refuse work,Worker rights,"The policy references workers' right to refuse unsafe, unreasonable, objectionable, or exploitative tasks.",2,0.4915,"As we enter an era characterized by increasing inequality, we need to ensure that workers re-entering the workforce through temp work are not being exploited and that these roles can lead to safe, stable, secure careers.",275,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,11,Right to refuse work,Worker rights,"The policy references workers' right to refuse unsafe, unreasonable, objectionable, or exploitative tasks.",4,0.4885,"Develop protocols to report workplace safety violations and protect contract worker voices
Contract workers are routinely faced with a painful choice between speaking up about abuse and keeping their jobs.",310,Meets a different parameter(s),Meets a different parameter(s),,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.",,,,,,,TRUE
Responsible Contracting Standard,377,12,Mental and physical health insurance,Worker rights,"The policy mentions health coverage for workers, mental or physical.",2,0.4716,"One worker shared that early during the COVID-19 pandemic, they and their fellow contract workers hadn’t received information on how their benefits, including their right to sick leave, had changed with new federal and state laws.",168,Meets a different parameter(s),Meets a different parameter(s),,"The policy mentions vacation, annual leave, or other forms of paid leave.",,,,,,,TRUE
Responsible Contracting Standard,377,12,Mental and physical health insurance,Worker rights,"The policy mentions health coverage for workers, mental or physical.",4,0.4458,"In addition to health care and paid time off, the typical tech benefits package includes stock options.",224,Yes,Yes,"The policy mentions health coverage for workers, mental or physical.","The policy mentions vacation, annual leave, or other forms of paid leave.",,,,,,,TRUE
Responsible Contracting Standard,377,12,Mental and physical health insurance,Worker rights,"The policy mentions health coverage for workers, mental or physical.",5,0.4429,* During the Request for Proposal bid process—and routinely as an audit practice—tech companies should ensure that staffing agencies provide equivalent plans for employer-sponsored healthcare to all contract workers.,307,Yes,Yes,"The policy mentions health coverage for workers, mental or physical.",,,,,,,,TRUE
Responsible Contracting Standard,377,13,Paid time off,Worker rights,"The policy mentions vacation, annual leave, or other forms of paid leave.",1,0.4746,* Demonstrate a commitment to employee wellness by ensuring adequate paid time off (PTO) and parental leave programs43.,294,Yes,Yes,"The policy mentions vacation, annual leave, or other forms of paid leave.",,,,,,,,TRUE
Responsible Contracting Standard,377,13,Paid time off,Worker rights,"The policy mentions vacation, annual leave, or other forms of paid leave.",3,0.4224,"Though the contracts cover a specific time period, employers (and workers) have the ability to end the contracts without advanced notice or explanation.",235,Meets a different parameter(s),Meets a different parameter(s),,The policy outlines requirements for fair contracts and contract terms between workers and employers.,,,,,,,TRUE
Responsible Contracting Standard,377,13,Paid time off,Worker rights,"The policy mentions vacation, annual leave, or other forms of paid leave.",5,0.4139,"Flexible capacity for temporary needs Companies might choose to use a contracting agency to cover for direct employees who are on leave, or for temporary projects, or ones that do not have long-term funding.",39,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,14,Sick leave,Worker rights,The policy references paid time off for illness,3,0.4335,This practice stems from a lawsuit brought by temps at Microsoft 29who argued they should receive the same benefits as full-time employees since they were essentially doing the same jobs.,161,Meets a different parameter(s),Meets a different parameter(s),,"The policy outlines some measure of legal enforceability, referencing existing applicable legal frameworks.",,,,,,,TRUE
Responsible Contracting Standard,377,15,Pension benefits,Worker rights,The policy mentions retirement savings or pensions programs for workers,2,0.4412,Federal bills including the Restoring Worker Power Act58 from 2020 outline what a worker-centered temporary worker bill of rights could contain.,360,Meets a different parameter(s),Meets a different parameter(s),,"The policy outlines some measure of legal enforceability, referencing existing applicable legal frameworks.",,,,,,,TRUE
Responsible Contracting Standard,377,16,Anti-Discrimination - Gender,Worker rights,The policy mentions protections or equity measures based on gender.,1,0.5291,These disparities also exist across gender.,136,Yes,Yes,The policy mentions protections or equity measures based on gender.,,,,,,,,TRUE
Responsible Contracting Standard,377,16,Anti-Discrimination - Gender,Worker rights,The policy mentions protections or equity measures based on gender.,4,0.4444,"The federal Equal Pay Act requires that people of different genders, race, and other characteristics must earn equal pay for equal work.",355,Yes,Yes,The policy mentions protections or equity measures based on gender.,,,,,,,,TRUE
Responsible Contracting Standard,377,16,Anti-Discrimination - Gender,Worker rights,The policy mentions protections or equity measures based on gender.,5,0.4074,"The disparate impact20 legal standard holds that employers are responsible for practices that create different outcomes for groups based on their race, color, religion, sex, or national origin even if those practices are applied neutrally, or irrespective of those
characteristics.",118,Yes,Yes,The policy mentions protections or equity measures based on gender.,The policy mentions protections or equity measures based on race or ethnicity.,,,,,,,TRUE
Responsible Contracting Standard,377,17,Anti-Discrimination - Race and ethnicity,Worker rights,The policy mentions protections or equity measures based on race or ethnicity.,3,0.4741,"Notably, this study is based on disparities based on race between direct employees, with the total income gap presumably widening when accounting for earnings differences between contract workers and direct employees, especially contract workers with identities at the intersections of multiple forms of oppression.",267,Yes,Yes,The policy mentions protections or equity measures based on race or ethnicity.,,,,,,,,TRUE
Responsible Contracting Standard,377,19,Disability,Worker rights,The policy mentions protections or equity measures based on disability.,5,0.3894,"* Ensure that employees are offered medical, vision, and dental benefits that reflect the minimum value and affordability threshold42 that is offered to direct employees.",293,Meets a different parameter(s),Meets a different parameter(s),,"The policy mentions health coverage for workers, mental or physical.",,,,,,,TRUE
Responsible Contracting Standard,377,20,Contracts – general,Employer and platform/contractor responsibilities,The policy outlines requirements for fair contracts and contract terms between workers and employers.,1,0.6492,"Our Responsible Contracting Standard lays out the processes and practices that our research shows will create the conditions for contract
________________
workers to have safe, healthy and family-sustaining employment opportunities in the tech industry and beyond.",285,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,20,Contracts – general,Employer and platform/contractor responsibilities,The policy outlines requirements for fair contracts and contract terms between workers and employers.,3,0.6135,"________________
The move to a large contract workforce allows companies to absolve themselves of legal responsibility to the workers they rely on to make their companies run—both in terms of ongoing employment, wage rates, and benefits, but also in terms of protecting them from sexual harassment, racial discrimination, and ensuring healthy overall working conditions.",280,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,21,Transparent and easy to understand,Employer and platform/contractor responsibilities,The policy includes recommendations or requirements for contract clarity and readability.,2,0.5429,"Contract workers must have written information about their job assignments, clear personnel policies and protections, clear contract terms, formal contract extension and cancellation processes, written and accessible pathways to conversion to direct employment, the ability to speak plainly and openly about their work histories, and more.",359,Meets a different parameter(s),Meets a different parameter(s),,"The policy recommends that employers disclose potential or anticipated risks or harms, material or immaterial, that employees may encounter or expose themselves to on the job.",,,,,,,TRUE
Responsible Contracting Standard,377,22,Non-compete clauses,Employer and platform/contractor responsibilities,The policy mentions standards regarding restricting workers from working elsewhere/for other companies.,1,0.5991,* Prohibit contract terms that limit temp workers’ opportunities to obtain permanent employment at a tech (or parent/client) company—or accept employment with a competitor company.,298,Yes,Yes,The policy mentions standards regarding restricting workers from working elsewhere/for other companies.,,,,,,,,TRUE
Responsible Contracting Standard,377,22,Non-compete clauses,Employer and platform/contractor responsibilities,The policy mentions standards regarding restricting workers from working elsewhere/for other companies.,2,0.5809,"The policy that keeps contract workers from certain internal company meetings also leaves them unable to personally present their work to
certain audiences.",210,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,22,Non-compete clauses,Employer and platform/contractor responsibilities,The policy mentions standards regarding restricting workers from working elsewhere/for other companies.,3,0.5436,"Contract work limits job mobility across the career ladder
Beyond mobility limitations from contract to direct employee, contract workers face strict policies and procedures that limit their future job searches.",196,Yes,Yes,The policy mentions standards regarding restricting workers from working elsewhere/for other companies.,,,,,,,,TRUE
Responsible Contracting Standard,377,22,Non-compete clauses,Employer and platform/contractor responsibilities,The policy mentions standards regarding restricting workers from working elsewhere/for other companies.,4,0.5371,"Contract workers and direct employees are separate and unequal


In the summer of 2020 when workers across the country started having conversations about structural inequality and white supremacy in the workplace, contract workers were largely
prohibited from participating.",251,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,24,Notice period,Employer and platform/contractor responsibilities,The policy references a recommended notice before termination or resignation.,4,0.4145,Instead they felt that utilizing that process was more likely to anger their supervisor who might fire them or fail to renew their contract with no warning or recourse.,250,Yes,Yes,The policy references a recommended notice before termination or resignation.,,,,,,,,TRUE
Responsible Contracting Standard,377,24,Notice period,Employer and platform/contractor responsibilities,The policy references a recommended notice before termination or resignation.,5,0.3996,"The worker sent it to the executive; though it was still over a year later, as the worker’s contract was expiring, they eventually secured a direct employment position.",192,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,26,Unpaid waiting periods,Employer and platform/contractor responsibilities,"This policy relates to unpaid time when workers are waiting for tasks, access to work, new projects or potentially for disciplinary or investigative processes.",2,0.4535,"Although this practice is set up to protect tech companies from liability, it often leads to disempowerment for the worker.",12,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,27,Work related expenses,Employer and platform/contractor responsibilities,"The policy includes mention of required or acceptable compensation for work related expenses, such as internet access, computer, home office equipment, or travel allowance.",5,0.4033,"Tech companies must ensure that all of their workers are being valued and paid for the work they do, not just the ones on direct payroll.",304,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,31,Identifying risks and harms to workers,Employer and platform/contractor responsibilities,"The policy recommends that employers disclose potential or anticipated risks or harms, material or immaterial, that employees may encounter or expose themselves to on the job.",1,0.5661,"________________
The risks are many: litigation16 (joint-employment standard and co-employment generally arises from mistreated workers, inequitable pay and benefits, and substandard working conditions), fiduciary responsibility to mitigate the profit loss17 that results from misclassifying workers, the reputational risk18, product harm19 from employing a homogenous workforce, not to mention that attracting and retaining talent is one of the core drivers and predictors of business success.",116,No - not relevant at all,No - not relevant at all,,,,,,,,Risks to relying on contract workers; not relevant to our specific criteria,TRUE
Responsible Contracting Standard,377,31,Identifying risks and harms to workers,Employer and platform/contractor responsibilities,"The policy recommends that employers disclose potential or anticipated risks or harms, material or immaterial, that employees may encounter or expose themselves to on the job.",3,0.4681,"Unpredictable employment creates precarity and silences  contract worker voice
With all of the disparities a contract worker faces, it can be easy to wonder why they don’t speak out against these harms.",228,Meets a different parameter(s),Meets a different parameter(s),,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",,,,,,,TRUE
Responsible Contracting Standard,377,31,Identifying risks and harms to workers,Employer and platform/contractor responsibilities,"The policy recommends that employers disclose potential or anticipated risks or harms, material or immaterial, that employees may encounter or expose themselves to on the job.",4,0.4457,"Told to downplay their connection to the tech companies, contract workers either comply and suffer the hiring disadvantages, or go against corporate instructions to gain some benefit from their work experiences.",200,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,32,Human oversight in management,Employer and platform/contractor responsibilities,"The policy mentions, or defines the degree to which human involvement is to be used in decision-making about workers.",3,0.4586,No matter the model it will be up to the workers themselves to decide what pathways they want to take.,375,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,32,Human oversight in management,Employer and platform/contractor responsibilities,"The policy mentions, or defines the degree to which human involvement is to be used in decision-making about workers.",4,0.4533,"When certain demographic groups (Black, Latinx, Indigenous, Asian, women, and nonbinary) hold an outsized number of certain types of jobs (tech contract roles), there is a structure
to pay workers differently while attributing it to different skill or responsibility levels than if all worker groups were equally represented in each field and classification.",219,Meets a different parameter(s),Meets a different parameter(s),,The policy mentions protections or equity measures based on race or ethnicity.,,,,,,,TRUE
Responsible Contracting Standard,377,32,Human oversight in management,Employer and platform/contractor responsibilities,"The policy mentions, or defines the degree to which human involvement is to be used in decision-making about workers.",5,0.4400,"Locally, recent legislative proposals including California’s 2021 Worker Metrics61 bill also seek to reveal the contours of the contingent workforce.",369,Meets a different parameter(s),Meets a different parameter(s),,"The policy outlines some measure of legal enforceability, referencing existing applicable legal frameworks.",,,,,,,TRUE
Responsible Contracting Standard,377,33,Credentials for skills and experience,Employer and platform/contractor responsibilities,"Workers receive some form of credentials or documentation of their work, skills, expertise and/or achievements.",1,0.5826,"Contract workers enter their roles aspiring to get hired on permanently, or to
________________
benefit from being a part of a company with name recognition where they can learn new skills that provide a foothold into new fields.",188,Yes,Yes,"Workers receive some form of credentials or documentation of their work, skills, expertise and/or achievements.",,,,,,,,TRUE
Responsible Contracting Standard,377,33,Credentials for skills and experience,Employer and platform/contractor responsibilities,"Workers receive some form of credentials or documentation of their work, skills, expertise and/or achievements.",4,0.5538,"Connecting with workers + our major findings
To understand the worker experience, TechEquity interviewed over 30 current and former contract workers, and ran a survey with 34 questions, with both qualitative and quantitative responses (more information in the methodology section of this paper).",120,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,33,Credentials for skills and experience,Employer and platform/contractor responsibilities,"Workers receive some form of credentials or documentation of their work, skills, expertise and/or achievements.",5,0.5448,"Data throughout this report is from TechEquity’s 2021 papers, synthesizing worker expertise, independent research, and survey results
Who Becomes a Contract Worker?",128,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
