policy,parameter,category,subcategory,text_passage,similarity_score,chunk_index
TechEquity: Responsible Contracting Standard,Security of tenure,Worker rights,Working conditions,"• Provide transparency about the terms and conditions of assignments with written notice from the
staffing agency that includes: the length of the assignment, safety requirements, certifications, or
personal protective equipment needed for a work assignment, the specific criteria for transitioning
to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly
charge to the tech (or parent/client) company for their labor. (From Temps in Tech NELP and TWJ
Report44)
• Ensure that agencies use clear contract timelines that include written details of when a contract will be
evaluated for renewal, evaluation criteria for renewal, and provide any details on what employees must
do to initiate the renewal process. • Prohibit contract terms that limit temp workers’ opportunities to obtain permanent employment at a
tech (or parent/client) company—or accept employment with a competitor company.",0.5204586386680603,160
TechEquity: Responsible Contracting Standard,Security of tenure,Worker rights,Working conditions,"employees for compliance with worker protection
For the tech companies, the proliferation of second-
laws11. rate employment, without regular reporting from the
Tech companies avoid, at all costs, being contracting agencies, presents risks —low worker
considered joint employers for contract workers. morale is bad for business.",0.5017238855361938,61
TechEquity: Responsible Contracting Standard,"Evaluation metrics, productivity standards and quotas",Worker rights,Working conditions,"What tech companies can do
• Require an itemized breakdown within RFPs of agency fees for service (sometimes referred to as
“markups”), wage rates, benefits options and employee co-pays, recruiting methods, mentorship
opportunities, retention rates, HR protocols, complaint procedures, etc. • Require that all vendors and staffing agencies provide detailed assignments to all workers that include
pay rate, benefit options and employee contribution, paid time off, HR protocols, complaint procedures,
location of assignment, hourly schedule, and agency fees or “markups” for service. • Change internal policy to allow for procurement officers to take other factors into account besides cost
and competence when making contracting decisions
• Align RFP review processes to align with best practices for fair chance hiring55 to ensure a more inclusive
talent pool; do not work with agencies that implement non-compete practices.",0.4133378863334656,174
TechEquity: Responsible Contracting Standard,"Evaluation metrics, productivity standards and quotas",Worker rights,Working conditions,"Retrieved January 14, 2022, from https://d2m21dzi54s7kp.cloudfront.net/wp-content/
uploads/2020/05/StaffingSuccess_Special20_FINAL_pages.pdf
11 McNicholas, C., & von Wilpert, M. (2017, May 31). The joint employer standard and the National Labor
Relations Board: What is at stake for workers? Economic Policy Institute.",0.41333580017089844,246
TechEquity: Responsible Contracting Standard,"Evaluation metrics, productivity standards and quotas",Worker rights,Working conditions,"Here, the Restoring Worker Power Act again offers one model for how contracting and parent company
reporting could look. Locally, recent legislative proposals including California’s 2021 Worker Metrics61 bill also
seek to reveal the contours of the contingent workforce. Across the country, workers are organizing for more transparency and protections in the contingent workforce.",0.4073190987110138,196
TechEquity: Responsible Contracting Standard,Monitoring and surveillance,Worker rights,Working conditions,"• Conduct an annual audit of staffing agencies and vendors to ensure that stated commitments and
written policies of the tech company are being implemented and applied to the contract workers
themselves. When staffing agencies do not comply, ensure that there is a clear policy for those violations
that includes dropped contracts, fines, and any other mechanisms that are appropriate to internal policy
violation repercussions. 41 Contract Worker Disparity Project | Summary Report Closing the Gap:
Public Policy
Improving working conditions and ending wage disparities will require policy and regulatory reform.",0.4729434847831726,187
TechEquity: Responsible Contracting Standard,Monitoring and surveillance,Worker rights,Working conditions,"To
When two or more businesses co-determine or avoid that, some companies have phased out
share control over a worker’s terms of employment integrated teams—a mix of full-time employees
(such as pay, schedules, and job duties), then both and contract workers, which used to be common
businesses may be considered to be employers of practice. Now certain core business functions are
that worker, or “joint employers.” Joint employers fulfilled entirely by contract worker teams, while
are responsible, both individually and jointly, to others are done by direct employees. employees for compliance with worker protection
For the tech companies, the proliferation of second-
laws11.",0.44108229875564575,60
TechEquity: Responsible Contracting Standard,Monitoring and surveillance,Worker rights,Working conditions,"employees for compliance with worker protection
For the tech companies, the proliferation of second-
laws11. rate employment, without regular reporting from the
Tech companies avoid, at all costs, being contracting agencies, presents risks —low worker
considered joint employers for contract workers. morale is bad for business.",0.4247328042984009,61
TechEquity: Responsible Contracting Standard,Dismissal/deactivation/suspension,Worker rights,Working conditions,"• Conduct an annual audit of staffing agencies and vendors to ensure that stated commitments and
written policies of the tech company are being implemented and applied to the contract workers
themselves. When staffing agencies do not comply, ensure that there is a clear policy for those violations
that includes dropped contracts, fines, and any other mechanisms that are appropriate to internal policy
violation repercussions. 41 Contract Worker Disparity Project | Summary Report Closing the Gap:
Public Policy
Improving working conditions and ending wage disparities will require policy and regulatory reform.",0.4457406997680664,187
TechEquity: Responsible Contracting Standard,Dismissal/deactivation/suspension,Worker rights,Working conditions,"• Prohibit contract terms that limit temp workers’ opportunities to obtain permanent employment at a
tech (or parent/client) company—or accept employment with a competitor company. (From Temps in
Tech NELP and TWJ Report)
• Implement best practices for predictable scheduling45 and apply components of fair workweek laws46 and
current California law for scheduling47 across the contract workforce. 36 Contract Worker Disparity Project | Summary Report 2.",0.3984467685222626,161
TechEquity: Responsible Contracting Standard,Dismissal/deactivation/suspension,Worker rights,Working conditions,"• Demonstrate a commitment to employee wellness by ensuring adequate paid time off (PTO) and
parental leave programs43. For workers with part-time or contract time limits, use a formula to calculate
pro-rated PTO that would be equivalent to directly-employed workforce PTO benefit. • Provide transparency about the terms and conditions of assignments with written notice from the
staffing agency that includes: the length of the assignment, safety requirements, certifications, or
personal protective equipment needed for a work assignment, the specific criteria for transitioning
to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly
charge to the tech (or parent/client) company for their labor.",0.3903796374797821,159
TechEquity: Responsible Contracting Standard,Paths for career advancement,Worker rights,Working conditions,"These policies, replicated for teams or managers who successfully hire former contract workers, would
also improve the mobility and stability of tech’s entire workforce. • Offer training and professional development opportunities to contract workers. If there are minimum
standards for tuition reimbursement provided, do a regular audit of the staffing agencies to ensure those
benefits are being distributed and applied correctly.",0.43160581588745117,180
TechEquity: Responsible Contracting Standard,Paths for career advancement,Worker rights,Working conditions,"• End policies that disincentivize contract worker mobility (non-competes, high fees for conversion) and
adopt the incentives provided to direct workers, including hiring bonuses for those who successfully
recruit contract workers. Existing policies demonstrate that tech companies understand the rationale
behind internal referral systems, offering several-thousand dollar bonuses for successful referral hires57. These policies, replicated for teams or managers who successfully hire former contract workers, would
also improve the mobility and stability of tech’s entire workforce.",0.3606179356575012,179
TechEquity: Responsible Contracting Standard,Paths for career advancement,Worker rights,Working conditions,"• Change internal policy to allow for procurement officers to take other factors into account besides cost
and competence when making contracting decisions
• Align RFP review processes to align with best practices for fair chance hiring55 to ensure a more inclusive
talent pool; do not work with agencies that implement non-compete practices. 39 Contract Worker Disparity Project | Summary Report 5. Outline and publish clear pathways to
direct employment
Even though contract workers contribute to the success of their tech company, they’re often barred from
reaping the benefits of that work.",0.35664069652557373,175
TechEquity: Responsible Contracting Standard,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,Working conditions,"• Conduct an annual audit of staffing agencies and vendors to ensure that stated commitments and
written policies of the tech company are being implemented and applied to the contract workers
themselves. When staffing agencies do not comply, ensure that there is a clear policy for those violations
that includes dropped contracts, fines, and any other mechanisms that are appropriate to internal policy
violation repercussions. 41 Contract Worker Disparity Project | Summary Report Closing the Gap:
Public Policy
Improving working conditions and ending wage disparities will require policy and regulatory reform.",0.44558799266815186,187
TechEquity: Responsible Contracting Standard,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,Working conditions,"What tech companies can do
• Develop an independent complaint process, led by contract workers and/or worker organizations, that
allows contract workers to confidentially file complaints that are investigated—ideally by a third party—
and if complaints are found to be valid, take responsibility to ensure that workers are made whole as a
result. • Publish and report the abuses of staffing agencies53 to the relevant regulatory body to ensure that the
staffing agency is held accountable for wrongdoing. • Outline in writing to vendors that the company supports workers' right to organize, to utilize protected
concerted activity54, and encourages the voluntary recognition of unionization efforts.",0.44487351179122925,169
TechEquity: Responsible Contracting Standard,"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,Working conditions,"Economic Policy Institute. Retrieved January 14, 2022, from
https://www.epi.org/publication/the-joint-employer-standard-and-the-national-labor-relations-
board-what-is-at-stake-for-workers/
52 Contract Worker Disparity Project | Summary Report 12 Greenhouse, S. (2000, December 13). Temp workers at Microsoft Win Lawsuit.",0.4433620870113373,247
TechEquity: Responsible Contracting Standard,"Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Worker rights,Working conditions,"• Outline in writing to vendors that the company supports workers' right to organize, to utilize protected
concerted activity54, and encourages the voluntary recognition of unionization efforts. • Allow contract workers to attend All-Hands meetings and be included in other all-staff communication
channels where employees are able to receive and respond to company news and important health and
safety updates. 38 Contract Worker Disparity Project | Summary Report 4.",0.5254164934158325,170
TechEquity: Responsible Contracting Standard,"Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Worker rights,Working conditions,"Retrieved January 14, 2022, from https://d2m21dzi54s7kp.cloudfront.net/wp-content/
uploads/2020/05/StaffingSuccess_Special20_FINAL_pages.pdf
11 McNicholas, C., & von Wilpert, M. (2017, May 31). The joint employer standard and the National Labor
Relations Board: What is at stake for workers? Economic Policy Institute.",0.44136273860931396,246
TechEquity: Responsible Contracting Standard,"Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Worker rights,Working conditions,"Federal bills including the Restoring Worker Power Act58 from 2020 outline what a worker-centered temporary
worker bill of rights could contain. From receiving little to no written information about their job assignments,
contract terms that are frequently in flux and subject to abrupt cancellation, and scant benefits to no
meaningful ability to speak up on the job,
contract workers need dedicated and
clear worker protections. 43 Contract Worker Disparity Project | Summary Report Bring transparency to the contract workforce
Measures that create public data and give workers the ability to combat pay disparities are critical.",0.43365034461021423,192
TechEquity: Responsible Contracting Standard,Health and safety risks,Worker rights,Working conditions,"Creating and enforcing responsible contracting standards and practices
2. Adopting and implementing public policy that sets a baseline for protections
3. Ensuring contract workers themselves are leading the process to define
solutions
34 Contract Worker Disparity Project | Summary Report Closing the Gap:
Responsible Contracting
Standards
Our research has shown that in order for contract workers to have safe, healthy and family-sustaining
workers and temps to have stable, good jobs we need employment opportunities in the tech industry and
to set a more comprehensive standard for employers beyond.",0.3560888171195984,153
TechEquity: Responsible Contracting Standard,Health and safety risks,Worker rights,Working conditions,"Retrieved January 14, 2022, from https://www.eeoc.gov/laws/guidance/employment-tests-and-
selection-procedures
21 Who is protected from employment discrimination? U.S. Equal Employment Opportunity Commission.",0.31652969121932983,263
TechEquity: Responsible Contracting Standard,Health and safety risks,Worker rights,Working conditions,"Ensuring contract workers themselves are leading the process to define
solutions
34 Contract Worker Disparity Project | Summary Report Closing the Gap:
Responsible Contracting
Standards
Our research has shown that in order for contract workers to have safe, healthy and family-sustaining
workers and temps to have stable, good jobs we need employment opportunities in the tech industry and
to set a more comprehensive standard for employers beyond. Where possible, we’ve included specific
to follow. Our Responsible Contracting Standard lays policy language and reference to laws that undergird
out the processes and practices that our research many of these recommendations.",0.309567391872406,154
TechEquity: Responsible Contracting Standard,Right to refuse work,Worker rights,Working conditions,"Ensure safe and secure employment
The fact that many existing labor laws do not acknowledge the unique facets of contract work or adequately
protect contract workers is part of the reason the practice is burgeoning, and that working conditions are
often so poor. Contract workers must have written information about their job assignments, clear personnel
policies and protections, clear contract terms, formal contract extension and cancellation processes, written
and accessible pathways to conversion to direct employment, the ability to speak plainly and openly about their
work histories, and more. Federal bills including the Restoring Worker Power Act58 from 2020 outline what a worker-centered temporary
worker bill of rights could contain.",0.4963812232017517,191
TechEquity: Responsible Contracting Standard,Right to refuse work,Worker rights,Working conditions,"• Prohibit contract terms that limit temp workers’ opportunities to obtain permanent employment at a
tech (or parent/client) company—or accept employment with a competitor company. (From Temps in
Tech NELP and TWJ Report)
• Implement best practices for predictable scheduling45 and apply components of fair workweek laws46 and
current California law for scheduling47 across the contract workforce. 36 Contract Worker Disparity Project | Summary Report 2.",0.4859052896499634,161
TechEquity: Responsible Contracting Standard,Right to refuse work,Worker rights,Working conditions,"• Conduct an annual audit of staffing agencies and vendors to ensure that stated commitments and
written policies of the tech company are being implemented and applied to the contract workers
themselves. When staffing agencies do not comply, ensure that there is a clear policy for those violations
that includes dropped contracts, fines, and any other mechanisms that are appropriate to internal policy
violation repercussions. 41 Contract Worker Disparity Project | Summary Report Closing the Gap:
Public Policy
Improving working conditions and ending wage disparities will require policy and regulatory reform.",0.4564017653465271,187
TechEquity: Responsible Contracting Standard,Mental and physical health insurance,Worker rights,Benefits,"• Demonstrate a commitment to employee wellness by ensuring adequate paid time off (PTO) and
parental leave programs43. For workers with part-time or contract time limits, use a formula to calculate
pro-rated PTO that would be equivalent to directly-employed workforce PTO benefit. • Provide transparency about the terms and conditions of assignments with written notice from the
staffing agency that includes: the length of the assignment, safety requirements, certifications, or
personal protective equipment needed for a work assignment, the specific criteria for transitioning
to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly
charge to the tech (or parent/client) company for their labor.",0.3908875286579132,159
TechEquity: Responsible Contracting Standard,Mental and physical health insurance,Worker rights,Benefits,"Economic Policy Institute. Retrieved January 14, 2022, from
https://www.epi.org/publication/the-joint-employer-standard-and-the-national-labor-relations-
board-what-is-at-stake-for-workers/
52 Contract Worker Disparity Project | Summary Report 12 Greenhouse, S. (2000, December 13). Temp workers at Microsoft Win Lawsuit.",0.38957908749580383,247
TechEquity: Responsible Contracting Standard,Mental and physical health insurance,Worker rights,Benefits,"41 Contract Worker Disparity Project | Summary Report Closing the Gap:
Public Policy
Improving working conditions and ending wage disparities will require policy and regulatory reform. Throughout the Contract Worker Disparity Project, workers have been consistent about what needs to change:
equal pay for equal work, greater stability, and better working conditions. 42 Contract Worker Disparity Project | Summary Report Policy Solutions
Compensate workers with equal pay for equal work
Workers fulfilling reasonably similar job responsibilities for the same company should earn the same wages,
regardless of classification.",0.3765314221382141,188
TechEquity: Responsible Contracting Standard,Paid time off,Worker rights,Benefits,"• Demonstrate a commitment to employee wellness by ensuring adequate paid time off (PTO) and
parental leave programs43. For workers with part-time or contract time limits, use a formula to calculate
pro-rated PTO that would be equivalent to directly-employed workforce PTO benefit. • Provide transparency about the terms and conditions of assignments with written notice from the
staffing agency that includes: the length of the assignment, safety requirements, certifications, or
personal protective equipment needed for a work assignment, the specific criteria for transitioning
to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly
charge to the tech (or parent/client) company for their labor.",0.5470823049545288,159
TechEquity: Responsible Contracting Standard,Paid time off,Worker rights,Benefits,"(2018, August 31). Microsoft says its US contractors must offer paid parental leave. The
Verge.",0.34313422441482544,302
TechEquity: Responsible Contracting Standard,Paid time off,Worker rights,Benefits,"• Provide transparency about the terms and conditions of assignments with written notice from the
staffing agency that includes: the length of the assignment, safety requirements, certifications, or
personal protective equipment needed for a work assignment, the specific criteria for transitioning
to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly
charge to the tech (or parent/client) company for their labor. (From Temps in Tech NELP and TWJ
Report44)
• Ensure that agencies use clear contract timelines that include written details of when a contract will be
evaluated for renewal, evaluation criteria for renewal, and provide any details on what employees must
do to initiate the renewal process. • Prohibit contract terms that limit temp workers’ opportunities to obtain permanent employment at a
tech (or parent/client) company—or accept employment with a competitor company.",0.34152737259864807,160
TechEquity: Responsible Contracting Standard,Sick leave,Worker rights,Benefits,"• Demonstrate a commitment to employee wellness by ensuring adequate paid time off (PTO) and
parental leave programs43. For workers with part-time or contract time limits, use a formula to calculate
pro-rated PTO that would be equivalent to directly-employed workforce PTO benefit. • Provide transparency about the terms and conditions of assignments with written notice from the
staffing agency that includes: the length of the assignment, safety requirements, certifications, or
personal protective equipment needed for a work assignment, the specific criteria for transitioning
to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly
charge to the tech (or parent/client) company for their labor.",0.48573702573776245,159
TechEquity: Responsible Contracting Standard,Sick leave,Worker rights,Benefits,"to the contract workers. Critical information gets
One worker shared that early during the COVID-19 lost in a dual reporting structure, leaving workers
pandemic, they and their fellow contract workers to use valuable time tracking down the appropriate
hadn’t received information on how their benefits, authority—and to be reprimanded for not obeying
including their right to sick leave, had changed with the often invisible lines of who is responsible for what. new federal and state laws.",0.43541964888572693,95
TechEquity: Responsible Contracting Standard,Sick leave,Worker rights,Benefits,"(2018, August 31). Microsoft says its US contractors must offer paid parental leave. The
Verge.",0.3827017545700073,302
TechEquity: Responsible Contracting Standard,Pension benefits,Worker rights,Benefits,"Retrieved January 14, 2022, from https://d2m21dzi54s7kp.cloudfront.net/wp-content/
uploads/2020/05/StaffingSuccess_Special20_FINAL_pages.pdf
11 McNicholas, C., & von Wilpert, M. (2017, May 31). The joint employer standard and the National Labor
Relations Board: What is at stake for workers? Economic Policy Institute.",0.41836580634117126,246
TechEquity: Responsible Contracting Standard,Pension benefits,Worker rights,Benefits,"Employee Benefits in the United States - March 2021. News
Release - Bureau of Labor Statistics. Retrieved January 14, 2022, from https://www.bls.gov/news.",0.41530656814575195,266
TechEquity: Responsible Contracting Standard,Pension benefits,Worker rights,Benefits,"Ensure safe and secure employment
The fact that many existing labor laws do not acknowledge the unique facets of contract work or adequately
protect contract workers is part of the reason the practice is burgeoning, and that working conditions are
often so poor. Contract workers must have written information about their job assignments, clear personnel
policies and protections, clear contract terms, formal contract extension and cancellation processes, written
and accessible pathways to conversion to direct employment, the ability to speak plainly and openly about their
work histories, and more. Federal bills including the Restoring Worker Power Act58 from 2020 outline what a worker-centered temporary
worker bill of rights could contain.",0.39066338539123535,191
TechEquity: Responsible Contracting Standard,Gender,Worker rights,Anti-discrimination policies,"42 Contract Worker Disparity Project | Summary Report Policy Solutions
Compensate workers with equal pay for equal work
Workers fulfilling reasonably similar job responsibilities for the same company should earn the same wages,
regardless of classification. The federal Equal Pay Act requires that people of different genders, race, and
other characteristics must earn equal pay for equal work. The 1963 legislation, as well as many of the efforts to
strengthen it at the state level, has adopted new provisions to extend protections to those doing substantially
similar work instead of equal work, yet few have amended the same establishment or same workplace language
in a way that would protect contract workers.",0.5099706053733826,189
TechEquity: Responsible Contracting Standard,Gender,Worker rights,Anti-discrimination policies,"Reliable data on the number and rates of gender-expansive people in America are still emerging, with one
recent study26 finding there to be 1.2 million nonbinary people, or 0.004% of the total U.S. population,
while other data indicate that 5% of startup workers are nonbinary27—though this doesn’t incorporate the
employees who chose not to answer to protect their privacy. Direct employment opportunities are not the only area where workers of color, women, and nonbinary people
experience disparate treatment. Preliminary data and contract workers’ descriptions of their job functions
support assertions that they perform similar work as direct employees—for a fraction of the pay.",0.4754183292388916,78
TechEquity: Responsible Contracting Standard,Gender,Worker rights,Anti-discrimination policies,"In addition to health care and paid time
Occupational segregation creates a structure where
off, the typical tech benefits package includes stock
it becomes even easier to construct gender and
options. The latest numbers32 from the Bureau of
racial pay gaps. When certain demographic groups
Labor Statistics show that private-sector employers
(Black, Latinx, Indigenous, Asian, women, and
spend about 29.4% of total compensation costs
nonbinary) hold an outsized number of certain types
on an employee’s benefits.",0.46870332956314087,121
TechEquity: Responsible Contracting Standard,Race and ethnicity,Worker rights,Anti-discrimination policies,"The disparate impact20 legal standard holds
that employers are responsible for practices that create different outcomes for groups based on their race,
color, religion, sex, or national origin even if those practices are applied neutrally, or irrespective of those
characteristics. There could be issues of employment discrimination if hiring practices result in discriminatory
outcomes, including workers with protected class status21 disproportionately assigned to lower paid roles. 13 Contract Worker Disparity Project | Summary Report Connecting with workers + our major findings
To understand the worker experience, TechEquity interviewed over 30 current and former
contract workers, and ran a survey with 34 questions, with both qualitative and quantitative
responses (more information in the methodology section of this paper).",0.44910910725593567,67
TechEquity: Responsible Contracting Standard,Race and ethnicity,Worker rights,Anti-discrimination policies,"Retrieved January 14, 2022, from https://www.eeoc.gov/laws/guidance/employment-tests-and-
selection-procedures
21 Who is protected from employment discrimination? U.S. Equal Employment Opportunity Commission.",0.41818878054618835,263
TechEquity: Responsible Contracting Standard,Race and ethnicity,Worker rights,Anti-discrimination policies,"42 Contract Worker Disparity Project | Summary Report Policy Solutions
Compensate workers with equal pay for equal work
Workers fulfilling reasonably similar job responsibilities for the same company should earn the same wages,
regardless of classification. The federal Equal Pay Act requires that people of different genders, race, and
other characteristics must earn equal pay for equal work. The 1963 legislation, as well as many of the efforts to
strengthen it at the state level, has adopted new provisions to extend protections to those doing substantially
similar work instead of equal work, yet few have amended the same establishment or same workplace language
in a way that would protect contract workers.",0.4135551452636719,189
TechEquity: Responsible Contracting Standard,Sexual orientation,Worker rights,Anti-discrimination policies,"Williams Institute. Retrieved January 14, 2022, from https://williamsinstitute.law.ucla.edu/publications/nonbinary-lgbtq-adults-
us/
27 Pao, E. K. (2019, May 2). Roadmap to Diversity and Inclusion.",0.5057584047317505,274
TechEquity: Responsible Contracting Standard,Sexual orientation,Worker rights,Anti-discrimination policies,"Retrieved January 14, 2022,
from http://www.eeoc.gov/special-report/diversity-high-tech
26 Wilson, B. D. M., & Meyer, I. H. (2021, June). Nonbinary LGBTQ adults in the United States. Williams Institute.",0.44995760917663574,273
TechEquity: Responsible Contracting Standard,Sexual orientation,Worker rights,Anti-discrimination policies,"These arrangements allow a company their companies run—both in terms of ongoing
to quickly scale up a specific type of expertise or employment, wage rates, and benefits, but also in
fill an immediate need. In practice, however, these terms of protecting them from sexual harassment,
arrangements are often wide-reaching, long-lasting, racial discrimination, and ensuring healthy overall
and inherently exploitative if they are not working conditions. managed well.",0.4103798270225525,151
TechEquity: Responsible Contracting Standard,Disability,Worker rights,Anti-discrimination policies,"41 Contract Worker Disparity Project | Summary Report Closing the Gap:
Public Policy
Improving working conditions and ending wage disparities will require policy and regulatory reform. Throughout the Contract Worker Disparity Project, workers have been consistent about what needs to change:
equal pay for equal work, greater stability, and better working conditions. 42 Contract Worker Disparity Project | Summary Report Policy Solutions
Compensate workers with equal pay for equal work
Workers fulfilling reasonably similar job responsibilities for the same company should earn the same wages,
regardless of classification.",0.42907992005348206,188
TechEquity: Responsible Contracting Standard,Disability,Worker rights,Anti-discrimination policies,"Federal bills including the Restoring Worker Power Act58 from 2020 outline what a worker-centered temporary
worker bill of rights could contain. From receiving little to no written information about their job assignments,
contract terms that are frequently in flux and subject to abrupt cancellation, and scant benefits to no
meaningful ability to speak up on the job,
contract workers need dedicated and
clear worker protections. 43 Contract Worker Disparity Project | Summary Report Bring transparency to the contract workforce
Measures that create public data and give workers the ability to combat pay disparities are critical.",0.41320449113845825,192
TechEquity: Responsible Contracting Standard,Disability,Worker rights,Anti-discrimination policies,"42 Contract Worker Disparity Project | Summary Report Policy Solutions
Compensate workers with equal pay for equal work
Workers fulfilling reasonably similar job responsibilities for the same company should earn the same wages,
regardless of classification. The federal Equal Pay Act requires that people of different genders, race, and
other characteristics must earn equal pay for equal work. The 1963 legislation, as well as many of the efforts to
strengthen it at the state level, has adopted new provisions to extend protections to those doing substantially
similar work instead of equal work, yet few have amended the same establishment or same workplace language
in a way that would protect contract workers.",0.4057483971118927,189
TechEquity: Responsible Contracting Standard,Contracts – general,Employer and platform/contractor responsibilities,Contracts,"Our Responsible Contracting Standard lays policy language and reference to laws that undergird
out the processes and practices that our research many of these recommendations. shows will create the conditions for contract
35 Contract Worker Disparity Project | Summary Report Responsible Contracting Standard
1. Require family-sustaining pay and benefits
When it comes to ensuring quality pay and benefits for contract workers, tech companies have more power
than they realize.",0.6732710003852844,155
